GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
practica-calificada-1-luis-carbajal-c,cs.ing,Main,0,12,0,0,0,4,0,3,0,3
practica-calificada-1-luis-carbajal-c,cs.ing,BioAlert,33,0,2,0,10,0,5,0,4,0
practica-calificada-1-luis-carbajal-c,cs.ing,BookTitle,37,0,0,0,14,0,6,0,6,0
practica-calificada-1-luis-carbajal-c,cs.ing,Author,15,0,0,0,1,0,3,0,3,0
practica-calificada-1-luis-carbajal-c,cs.ing,BookCopy,12,0,0,0,5,0,1,0,1,0
practica-calificada-1-luis-carbajal-c,cs.ing,User,0,9,0,0,0,4,0,2,0,2
practica-calificada-1-luis-carbajal-c,cs.ing,BookCopy.State,33,0,0,0,6,0,1,0,1,0
